product_id,alternative_product_id
000b8f95fcb9e0096488278317764d19,0
000d9be29b5207b54e86aa1b1ac54872,1
00126f27c813603687e6ce486d909d01,2
001795ec6f1b187d37335e1c4704762e,3
001b72dfd63e9833e8c02742adf472e3,4
001c5d71ac6ad696d22315953758fa04,5
00210e41887c2a8ef9f791ebc780cc36,6
002159fe700ed3521f46cfcf6e941c76,7
0021a87d4997a48b6cef1665602be0f5,8
00250175f79f584c14ab5cecd80553cd,9
002959d7a0b0990fe2d69988affcbc80,10
002d4ea7c04739c130bb74d7e7cd1694,11
0030026a6ddb3b2d1d4bc225b4b4c4da,12
0036bb031e69d915cd384d1b3838b5d3,13
003938452c98ff9ab28e9e7b4bfe97ab,14
003962cb74a8b43cf1034fed541a76f0,15
003a31970fea14fffe92ac856b8a9b97,16
004154251837f6ac124ad4374b3a8148,17
0043c62d00db47eff6a6bc4cf6bfaeda,18
004636c889c7c3dad6631f136b7fa082,19
004ffcbfa5aac82212a95bc972ea8a85,20
005030ef108f58b46b78116f754d8d38,21
005c6b24cc96dca3e2c01e824401030e,22
0060b415594c5e1200324ef1a18493c4,23
006508eabcc19ae52ed87323124ad0e9,24
006619bbed68b000c8ba3f8725d5409e,25
0067f97995b0c3a86739734dc87ee6b6,26
006baa9a5b8f95895f15273a35bc2664,27
006c67546bfe73c33b83f6bd1ad58c36,28
007c63ae4b346920756b5adcad8095de,29
0081787b18cce4acc2d1adec4520d7ba,30
00878d953636afec00d3e85d55a12e7f,31
008b51e6be49ee039854b5e35c331b02,32
008cff0e5792219fae03e570f980b330,33
00905d58c87afcbce21420b3712cacaa,34
00917855135d67fb060dcd81863166a4,35
0091d85023824de2d33252310c952307,36
00989337a1916a0055eedd1fdb35eb53,37
009af1277432f1a05742df69cdf72d1e,38
009df2b0bc078648fc4f5898de8cabff,39
00a0db09dc7c94d512ec51900141ed69,40
00aa70fd749f3b9ce8ca4bc914a9e7b1,41
00ab8a8b9fe219511dc3f178c6d79698,42
00ae7076313576f94d9107599d79a978,43
00b782074a5ec523bf31951b4935d572,44
00ba6d766f0b1d7b78a5ce3e1e033263,45
00baba5b58e274d0332a0c8a0a66f877,46
00bb62ea3729537a687c3fddcd123662,47
00be617b58175bf207fd35910d5097a4,48
00c1e6d55fe174bfbb179257255e49bb,49
00cc15e0cef551848c797ab75ba904b1,50
00d2add85b1f5aba6bb3d5d977314e25,51
00d363b8c14bb9a6c73febc4c42acf47,52
00d62d0388b0786d730a1aaed91c0ae0,53
00d93a09990b319a7c946ed7a8c67656,54
00dc8a1b2de45a7fca5921544e5f351d,55
00ddaddbe03b7103d80daee96892363f,56
00de7f393d962717eeeb2d7131a40dba,57
00df6fc5f33cc3f7ceec4ec6337d9cd7,58
00e2784f846618842151d40ec730ece0,59
00e32638060f6356e6f00749dc466b5c,60
00e41fb1706dc56cc3bbdd2c1d6df362,61
00e437f5e55fc5a62e4ef2f84f41b5fb,62
00e4ded51458037ecda216453eb79d3c,63
00f179926ae5965cd6ff548d765d8a61,64
00f42e56821b1779fbf397fe72639054,65
00f8c37377b038c9c791128d2f928111,66
00faa46f36261af8bbf3a4d37fa4841b,67
00fd6afd95fe066db8433832180a5369,68
00fefaf41156bb4b0d850fb27da97897,69
